,Date,POSIX,Adj Close,year,month,1_Adj Close,2_Adj Close,3_Adj Close,4_Adj Close,5_Adj Close,6_Adj Close,7_Adj Close,8_Adj Close,9_Adj Close,10_Adj Close,11_Adj Close,12_Adj Close,13_Adj Close,14_Adj Close
14,1980-01-25,317606400,6767.7099609375,1980,1,6746.93017578125,6694.18994140625,6684.58984375,6666.27001953125,6649.2998046875,6656.2998046875,6653.259765625,6659.5498046875,6615.509765625,6594.009765625,6591.830078125,6563.27978515625,6552.64990234375,6560.16015625
15,1980-01-28,317865600,6763.60986328125,1980,1,6767.7099609375,6746.93017578125,6694.18994140625,6684.58984375,6666.27001953125,6649.2998046875,6656.2998046875,6653.259765625,6659.5498046875,6615.509765625,6594.009765625,6591.830078125,6563.27978515625,6552.64990234375
16,1980-01-29,317952000,6770.830078125,1980,1,6763.60986328125,6767.7099609375,6746.93017578125,6694.18994140625,6684.58984375,6666.27001953125,6649.2998046875,6656.2998046875,6653.259765625,6659.5498046875,6615.509765625,6594.009765625,6591.830078125,6563.27978515625
17,1980-01-30,318038400,6776.60009765625,1980,1,6770.830078125,6763.60986328125,6767.7099609375,6746.93017578125,6694.18994140625,6684.58984375,6666.27001953125,6649.2998046875,6656.2998046875,6653.259765625,6659.5498046875,6615.509765625,6594.009765625,6591.830078125
18,1980-01-31,318124800,6768.16015625,1980,1,6776.60009765625,6770.830078125,6763.60986328125,6767.7099609375,6746.93017578125,6694.18994140625,6684.58984375,6666.27001953125,6649.2998046875,6656.2998046875,6653.259765625,6659.5498046875,6615.509765625,6594.009765625
19,1980-02-01,318211200,6777.64013671875,1980,2,6768.16015625,6776.60009765625,6770.830078125,6763.60986328125,6767.7099609375,6746.93017578125,6694.18994140625,6684.58984375,6666.27001953125,6649.2998046875,6656.2998046875,6653.259765625,6659.5498046875,6615.509765625
20,1980-02-04,318470400,6794.2099609375,1980,2,6777.64013671875,6768.16015625,6776.60009765625,6770.830078125,6763.60986328125,6767.7099609375,6746.93017578125,6694.18994140625,6684.58984375,6666.27001953125,6649.2998046875,6656.2998046875,6653.259765625,6659.5498046875
21,1980-02-05,318556800,6765.1201171875,1980,2,6794.2099609375,6777.64013671875,6768.16015625,6776.60009765625,6770.830078125,6763.60986328125,6767.7099609375,6746.93017578125,6694.18994140625,6684.58984375,6666.27001953125,6649.2998046875,6656.2998046875,6653.259765625
22,1980-02-06,318643200,6800.330078125,1980,2,6765.1201171875,6794.2099609375,6777.64013671875,6768.16015625,6776.60009765625,6770.830078125,6763.60986328125,6767.7099609375,6746.93017578125,6694.18994140625,6684.58984375,6666.27001953125,6649.2998046875,6656.2998046875
23,1980-02-07,318729600,6795.6201171875,1980,2,6800.330078125,6765.1201171875,6794.2099609375,6777.64013671875,6768.16015625,6776.60009765625,6770.830078125,6763.60986328125,6767.7099609375,6746.93017578125,6694.18994140625,6684.58984375,6666.27001953125,6649.2998046875
