year,年平均二酸化炭素濃度(ppm)
1984,344.3
1985,345.7
1986,347.2
1987,349.0
1988,351.3
1989,353.0
1990,354.1
1991,355.4
1992,356.2
1993,357.0
1994,358.5
1995,360.3
1996,362.1
1997,363.3
1998,366.0
1999,368.0
2000,369.4
2001,370.9
2002,372.9
2003,375.3
2004,377.1
2005,379.2
2006,381.3
2007,383.1
2008,385.1
2009,386.7
2010,388.9
2011,390.9
2012,393.1
2013,395.7
2014,397.7
2015,400.0
